Name;Details;Conditions;current_price;old_price;Release Date;Camera;Selfie;Screen Size;Resolution;SIM Card;Sensors;Network;Height;Width;Depth;Weight
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
iPhone 11;128 GB - Purple;Condition: Fair;Rp 6,500,000;Rp 14,499,000;2019;Dual 12MP camera;12MP;154.94 mm (diagonal);1792x828;Nano-SIM & eSIM;Face ID, Barometer, Three-axis gyro, Accelerometer, Proximity sensor, Ambient light sensor, Siri natural language commands and dictation;GSM/CDMA/LTE/HSPA/EVDO;150.9 mm;75.7 mm;8.3 mm;194 g
Redmi 9A;32 GB - 2 GB - Carbon Gray;Condition: Good;Rp 750,000;Rp 1,194,000;2020;13 MP (wide);5 MP;6.53 inches;720 x 1600 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer, proximity;GSM/HSPA/LTE;164.9 mm;77.1 mm;9 mm;196 g
Redmi 9A;32 GB - 2 GB - Carbon Gray;Condition: Fair;Rp 750,000;Rp 1,194,000;2020;13 MP (wide);5 MP;6.53 inches;720 x 1600 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer, proximity;GSM/HSPA/LTE;164.9 mm;77.1 mm;9 mm;196 g
Galaxy A04e;32 GB - 3 GB - Light Blue;Condition: Fair;Rp 800,000;Rp 1,300,000;september, 2022;13 MP + 2 MP;5 MP;6.5 inches;720 x 1600 pixels, 20;;Accelerometer, proximity;GSM / HSPA / LTE;;;;192 g
Redmi 9A;32 GB - 3 GB - Ocean Green;Condition: Fair;Rp 800,000;Rp 1,279,000;2020;13 MP (wide);5 MP;6.53 inches;720 x 1600 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer, proximity;GSM/HSPA/LTE;164.9 mm;77.1 mm;9 mm;196 g
Redmi 9A;32 GB - 3 GB - Sky Blue;Condition: Fair;Rp 800,000;Rp 1,279,000;2020;13 MP (wide);5 MP;6.53 inches;720 x 1600 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer, proximity;GSM/HSPA/LTE;164.9 mm;77.1 mm;9 mm;196 g
iPhone 11 Pro;256 GB - Space Gray;Condition: Good;Rp 8,300,000;Rp 20,999,000;2019;Triple 12MP camera;12MP;147.32 mm (diagonal);2436x1125;Nano-SIM & eSIM;Face ID, Barometer, Three-axis gyro, Accelerometer, Proximity sensor, Ambient light sensor, Siri natural language commands and dictation;GSM/CDMA/LTE/HSPA/EVDO;144.0 mm;71.4 mm;8.1 mm;188 g
Redmi A1;32 GB - 3 GB - Light Blue;Condition: Mint;Rp 960,000;Rp 1,149,000;2022;8 MP (wide), 0.08 MP (depth);5 MP;6.52 inches;720 x 1600 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer;GSM / HSPA / LTE;164.9 mm;76.8 mm;9.1 mm;192 g
iPhone 13;128 GB - Alpine Green;Condition: Fair;Rp 8,801,000;Rp 14,999,000;2021;Dual 12 MP camera;12 MP;6.1 inches;1170 x 2532 pixels;Nano-SIM;Face ID, accelerometer, gyro, proximity, compass, barometer Siri natural language commands and dictation Ultra Wideband (UWB) support;GSM/CDMA/HSPA/EVDO/LTE/5G;146,7 mm;71,5 mm;7,7 mm;174 g
iPhone 13;128 GB - Midnight;Condition: Very Good;Rp 8,901,000;Rp 14,999,000;2021;Dual 12 MP camera;12 MP;6.1 inches;1170 x 2532 pixels;Nano-SIM;Face ID, accelerometer, gyro, proximity, compass, barometer Siri natural language commands and dictation Ultra Wideband (UWB) support;GSM/CDMA/HSPA/EVDO/LTE/5G;146,7 mm;71,5 mm;7,7 mm;174 g
iPhone 12 Pro Max;128 GB - Graphite;Condition: Fair;Rp 9,691,000;Rp 20,499,000;2020;12MP;12MP;170.18 mm (diagonal);2778x1284;Nano-SIM & eSIM;Face ID, accelerometer, gyro, proximity, compass, barometer, Siri natural language commands and dictation, Ultra Wideband (UWB) support;GSM/CDMA/HSPA/EVDO/LTE/5G;160.8 mm;78.1 mm;7.4 mm;228 grams
Galaxy A21s;128 GB - 6 GB - Black;Condition: Fair;Rp 1,120,000;Rp 5,499,000;May 2020;;;6.5;720 x 1600;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;163.7;75.3;8.9;192 g
Poco M3;64 GB - 4 GB - POCO Yellow;Condition: Good;Rp 1,120,000;Rp 1,799,000;2020;;;6.22 inches;1520x720 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer, proximity, compass;GSM / HSPA / LTE;156.5 mm;75.4 mm;9.4 mm;188 g
Galaxy A05;64 GB - 4 GB - Black;Condition: Good;Rp 1,120,000;Rp 1,499,000;october 2023;50.0 MP + 2.0 MP;8 MP;6.7 inches;720 x 1600 pixels;;Accelerometer, proximity;GSM / HSPA / LTE;;;;195g
Galaxy A05;64 GB - 4 GB - Black;Condition: Good;Rp 1,120,000;Rp 1,499,000;october 2023;50.0 MP + 2.0 MP;8 MP;6.7 inches;720 x 1600 pixels;;Accelerometer, proximity;GSM / HSPA / LTE;;;;195g
Galaxy A05;64 GB - 4 GB - Black;Condition: Good;Rp 1,120,000;Rp 1,499,000;october 2023;50.0 MP + 2.0 MP;8 MP;6.7 inches;720 x 1600 pixels;;Accelerometer, proximity;GSM / HSPA / LTE;;;;195g
Poco M3;64 GB - 4 GB - POCO Yellow;Condition: Good;Rp 1,170,000;Rp 1,799,000;2020;;;6.22 inches;1520x720 pixels;Dual SIM (Nano-SIM, dual stand-by);Accelerometer, proximity, compass;GSM / HSPA / LTE;156.5 mm;75.4 mm;9.4 mm;188 g
iPhone 13;128 GB - Pink;Condition: New;Rp 10,099,000;Rp 14,999,000;2021;Dual 12 MP camera;12 MP;6.1 inches;1170 x 2532 pixels;Nano-SIM;Face ID, accelerometer, gyro, proximity, compass, barometer Siri natural language commands and dictation Ultra Wideband (UWB) support;GSM/CDMA/HSPA/EVDO/LTE/5G;146,7 mm;71,5 mm;7,7 mm;174 g
